WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
3.1.1,FEM implementation,"12/5/14, 8:00","12/5/14, 17:00",1d,1d,0%,,,,,,,,,,,,,
3.1.1.1,Integration of RPBE into finite element library,"12/5/14, 8:00","12/5/14, 17:00",1d,1d,0%,,,,,,,,,3.2.1,,0,,
3.1.1.2,RPBE APBS FEM release,"12/5/14, 17:00","12/5/14, 17:00",,,0%,,,,,,,,,"3.1.1.1, 3.2.2",,,,
3.1.1.3,RPBE APBS FEM paper,"12/5/14, 17:00","12/5/14, 17:00",,,0%,,,,,,,,,3.1.1.2,,,,
3.1.2,MG implementation,"12/29/16, 8:00","12/30/16, 17:00",2d,3d,0%,,,,,,,,,,,,,
3.1.2.1,Surface energy evaluation for RPBE?,"12/29/16, 8:00","12/29/16, 17:00",1d,1d,0%,,,,,,,,,3.4.1,,0,,
3.1.2.2,MG RPBE release,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,3.1.2.1,,0,,
3.1.2.3,MG RPBE paper,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,3.1.2.1,,0,,
3.2,Better finite element support,"12/4/14, 8:00","12/4/14, 17:00",1d,2d,0%,,,,,,,,,4.1.2,,,,
3.2.1,Identification of finite element library,"12/4/14, 8:00","12/4/14, 17:00",1d,1d,0%,,,,,,,,,6.2,,0,,
3.2.2,Identification of mesh generation tool for biomolecules,"12/4/14, 8:00","12/4/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.3,Boundary element solver,"12/29/16, 8:00","1/1/17, 17:00",2d,3d,0%,,,,,,,,,4.1.2,,,,
3.3.1,Making the code robust enough to release,"12/29/16, 8:00","12/29/16, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.3.2,Fortran translation to C?,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,3.3.1,,0,,
3.3.3,APBS BEM code release,"1/1/17, 0:00","1/1/17, 17:00",,,0%,,,,,,,,,3.3.1,,,,
3.3.4,Better mesh support,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.4,Surface-based free energy evaluation,"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,,,,,,
3.4.1,Implement integral over APBS surface definition,"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.4.2,Surface-energy APBS release,"11/20/14, 17:00","11/20/14, 17:00",,,0%,,,,,,,,,3.4.1,,,,
3.5,PB-SAM THG method,"11/20/14, 8:00","1/1/17, 17:00",2y 3mo 2w 2d,4d,0%,,,,,,,,,,,,,
3.5.1,Implement THG numerical method,"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.5.2,THG PB SAM APBS release,"11/20/14, 17:00","11/20/14, 17:00",,,0%,,,,,,,,,3.5.1,,,,
3.5.3,Release THG PB SAM code in contrib,"1/1/17, 0:00","1/1/17, 17:00",,,0%,,,,,,,,,"3.5.4, 3.5.5, 3.5.6",,,,
3.5.4,Build framework for standalone modules,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.5.5,Triage problematic parts of code,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,,,0,,
3.5.6,Windows compatibility,"12/30/16, 8:00","12/30/16, 17:00",1d,1d,0%,,,,,,,,,,,0,,
4,User experience,"11/20/14, 8:00","1/1/17, 17:00",2y 3mo 2w 2d,2w 4d,0%,,,,,,,,,,,,,
4.1,User interface,"11/20/14, 8:00","12/5/14, 17:00",2w 2d,1w 1d,0%,,,,,,,,,,,,,
4.1.1,APBS/PDB2PQR integration,"12/3/14, 8:00","12/3/14, 17:00",1d,1d,0%,,,,,,,,,"4.1.6, 4.1.5, 2.2.5",,100,,
4.1.2,APBS 2.0 release,"12/3/14, 17:00","12/3/14, 17:00",,,0%,,,,,,,,,"4.1.1, 4.1.9, 2.2.5, 4.1.3",,,,
4.1.3,APBS 2.0 paper written,"12/3/14, 8:00","12/3/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
4.1.4,APBS 2.0. paper submitted,"12/3/14, 17:00","12/3/14, 17:00",,,0%,,,,,,,,,4.1.2,,,,
4.1.5,Replacement of APBS front end with Python for flexibility (MALOC-free),"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,,,,100,,
4.1.6,Better web-based molecular visualization,"12/2/14, 8:00","12/2/14, 17:00",1d,1d,0%,,,,,,,,,2.3.1,,0,,
4.1.7,Novel visualization methods from SCI and elsewhere,"12/4/14, 8:00","12/4/14, 17:00",1d,1d,0%,,,,,,,,,4.1.2,,45,,
4.1.8,Novel visualization methods paper,"12/5/14, 8:00","12/5/14, 17:00",1d,1d,0%,,,,,,,,,4.1.7,,0,,
4.1.9,APBS web interface release,"12/3/14, 17:00","12/3/14, 17:00",,,0%,,,,,,,,,"4.1.1, 4.1.6",,,,
4.2,Computational performance,"12/4/14, 8:00","1/1/17, 17:00",2y 3mo 2d,2d,0%,,,,,,,,,4.1.2,,,,
4.2.1,GPU or co-processor acceleration,"12/4/14, 8:00","12/4/14, 17:00",1d,1d,0%,,,,,,,,,"6.2, 6.2.3",,80,,
4.2.2,Interactive APBS speeds & applications,"12/5/14, 8:00","12/5/14, 17:00",1d,1d,0%,,,,,,,,,4.2.1,,0,,
4.2.3,GPU APBS release,"1/1/17, 0:00","1/1/17, 0:00",,,0%,,,,,,,,,4.2.1,,,,
4.2.4,GPU APBS paper,"1/1/17, 0:00","1/1/17, 17:00",,,0%,,,,,,,,,4.2.3,,,,
4.3,Better documentation,"11/20/14, 8:00","2/1/15, 0:00",2mo 2w 2d,1w 1d,0%,,,,,,,,,,,,,
4.3.1,Website revision,"11/20/14, 8:00","11/21/14, 17:00",2d,4d,0%,,,,,,,,,,,,,
4.3.1.1,Move all content from old site,"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,"1/4/15, 0:00",,,80,,
4.3.1.2,Update examples,"11/21/14, 8:00","11/21/14, 17:00",1d,1d,0%,,,,,,,,,4.3.1.1,,0,,
4.3.1.3,Add new examples,"11/21/14, 8:00","11/21/14, 17:00",1d,1d,0%,,,,,,,,,4.3.1.1,,0,,
4.3.1.4,Screencasts,"11/21/14, 8:00","11/21/14, 17:00",1d,1d,0%,,,,,,,,,4.3.1.1,,0,,
4.3.2,Other papers,"1/30/15, 8:00","2/1/15, 0:00",1d,1d,0%,,,,,,,,,,,,,
4.3.2.1,Biophysical J review written,"1/30/15, 8:00","1/30/15, 17:00",1d,1d,0%,,,,,,,,,,,0,,
4.3.2.2,Biophysical J review submitted,"2/1/15, 0:00","2/1/15, 0:00",,,0%,,,,,,,,"2/1/15, 0:00",4.3.2.1,,,,
4.3.3,Buildable test suite,"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,,,,90,,
5,Community support,"12/4/14, 8:00","12/5/14, 17:00",2d,2d,0%,,,,,,,,,,,,,
5.1,Workshops,"12/4/14, 8:00","12/4/14, 17:00",1d,1d,0%,,,,,,,,,"4.1.9, 4.3.1.1",,70,,
5.2,Webcasts,"12/5/14, 8:00","12/5/14, 17:00",1d,1d,0%,,,,,,,,,"4.3.1.1, 5.1",,60,,
6,Infrastructure,"11/20/14, 8:00","11/21/14, 17:00",2d,4d,0%,,,,,,,,,,,,,
6.1,Localize MALOC dependencies,"11/20/14, 8:00","11/20/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
6.2,New numerical library support,"11/21/14, 8:00","11/21/14, 17:00",1d,3d,0%,,,,,,,,,6.1,,,,
6.2.1,PETSc support,"11/21/14, 8:00","11/21/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
6.2.2,Trilinos support,"11/21/14, 8:00","11/21/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
6.2.3,Whitaker sparse solver GPU support,"11/21/14, 8:00","11/21/14, 17:00",1d,1d,0%,,,,,,,,,,,0,,
6.3,Nightly builds,"11/20/14, 17:00","11/20/14, 17:00",,,0%,,,,,,,,,4.3.3,,,,
